cost_code,csi_section,description,category,scope,rate_source,unit,notes
SS-FAB,05 12 00,"Structural steel framing - shop fabrication",shop_labor+material,self-perform,BID_RATES.fab_per_ton,T,"Engineering folded in - never a separate line"
SS-ERECT,05 12 00,"Structural steel erection - field labor",field_labor,self-perform,BID_RATES.erection_per_ton,T,"Engineering folded in - never a separate line"
SJ-JOIST,05 21 00,"Steel joists and joist girders",material+shop_labor,self-perform,BID_RATES.joists_per_ton,T,"Supply and set"
DK-ROOF,05 31 00,"Roof deck - supply and install",material+field_labor,self-perform,BID_RATES.roof_deck_per_sf,SF,"Deck ALWAYS Your Company scope - never optional"
DK-COMP,05 36 00,"Composite floor deck - supply and install",material+field_labor,self-perform,BID_RATES.composite_deck_per_sf,SF,"Deck ALWAYS Your Company scope - never optional"
AB-ROD,05 05 13,"Anchor rods - supply",material,self-perform,BID_RATES.anchor_rod_1x20_each,EA,"Confirm diameter and count vs anchor-bolt plan"
MM-MISC,05 50 00,"Miscellaneous metals (embeds; lintels; railings)",material+shop_labor,self-perform,"quote per item - no locked rate",LS,"Price from member takeoff - not SF x psf"
SW-STUD,05 12 00,"Shear stud welding",field_labor,self-perform,"folded into BID_RATES.erection_per_ton",EA,"Count studs per bay - do not line-item unless GC requires"
GV-GALV,05 05 00,"Galvanizing",subcontract,subcontract,"vendor quote - no client-facing rate",LS,"Subcontracted finish - supplier name never on client docs"
PT-COAT,09 90 00,"Special / high-performance coatings",subcontract,subcontract,"vendor quote - no client-facing rate",LS,"Beyond shop primer - subcontracted"
CR-CRANE,01 54 00,"Crane and rigging",indirect,subcontract,"vendor quote - prelim/contingency",LS,"Crane standby is ContingencyPrelim - not a fab line"
PRIMER,05 05 00,"Shop primer paint",material,self-perform,"folded into BID_RATES.fab_per_ton",T,"Standard one-coat shop primer included in fab"
CONC,03 30 00,"Concrete (foundations / slab)",subcontract,by-others,"no Your Company line",LS,"Out of scope - log in exclusions if in tender"
MEP,various,"Mechanical / electrical / plumbing",subcontract,by-others,"no Your Company line",LS,"Out of scope - log in exclusions if in tender"
